neurons,k,lamb,noise_scale,noise_scale_base,lambda_l1,lambda_entropy,grid,seed,opt,patience,hermite,normalize,lr,batch_size,train,val,test,training_time,number_of_parameters
"[20, 5, 10, 5, 1]",-1,0.0,0.1,0.1,0.0,0.0,10,0,Adam,500,True,False,0.1,418697,0.039056889712810516,0.0383111909031868,0.035698287189006805,58.86903786659241,4941
"[20, 5, 10, 5, 1]",-1,0.0,0.1,0.1,0.0,0.0,10,0,Adam,500,True,False,0.01,418697,0.02636590600013733,0.025753645226359367,0.02421901933848858,267.93618059158325,4941
"[20, 5, 10, 5, 1]",-1,0.0,0.1,0.1,0.0,0.0,10,0,Adam,500,True,False,0.001,418697,0.033919960260391235,0.03363615646958351,0.03196173533797264,515.8591136932373,4941
"[20, 10, 5, 1]",-1,0.0,0.1,0.1,0.0,0.0,10,0,Adam,500,True,False,0.1,418697,0.027102550491690636,0.026263507083058357,0.02449778839945793,107.02304816246033,6136
"[20, 10, 5, 1]",-1,0.0,0.1,0.1,0.0,0.0,10,0,Adam,500,True,False,0.01,418697,0.02776985615491867,0.027012791484594345,0.024765929207205772,112.66367435455322,6136
"[20, 10, 5, 1]",-1,0.0,0.1,0.1,0.0,0.0,10,0,Adam,500,True,False,0.001,418697,0.034455399960279465,0.03398318961262703,0.03168318793177605,454.3510661125183,6136
"[20, 10, 1]",-1,0.0,0.1,0.1,0.0,0.0,10,0,Adam,500,True,False,0.1,418697,0.026864642277359962,0.026219476014375687,0.024960920214653015,218.06112408638,5051
"[20, 10, 1]",-1,0.0,0.1,0.1,0.0,0.0,10,0,Adam,500,True,False,0.01,418697,0.027162708342075348,0.02684120275080204,0.030579948797822,317.2893657684326,5051
"[20, 10, 1]",-1,0.0,0.1,0.1,0.0,0.0,10,0,Adam,500,True,False,0.001,418697,0.03264586254954338,0.03265541419386864,0.03349027782678604,410.769700050354,5051
"[20, 20, 1]",-1,0.0,0.1,0.1,0.0,0.0,10,0,Adam,500,True,False,0.1,418697,0.02734924666583538,0.02661384455859661,0.025050178170204163,130.34461092948914,10101
"[20, 20, 1]",-1,0.0,0.1,0.1,0.0,0.0,10,0,Adam,500,True,False,0.01,418697,0.027304071933031082,0.028569424524903297,0.05117298662662506,123.98219728469849,10101
"[20, 20, 1]",-1,0.0,0.1,0.1,0.0,0.0,10,0,Adam,500,True,False,0.001,418697,0.027110015973448753,0.02913479693233967,0.0609176829457283,346.4475564956665,10101
